Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"Air transport, passengers carried",IS.AIR.PSGR,India,IND,10862200,17299483,73996912,72151828.8895485,75589071,82718882.88,98927860,119577835,139752424,164035637.545,167499116,..
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,
Last Updated: 09/15/2021,,,,,,,,,,,,,,,
